"","time","lat","long","site.name","Alnus","Fagus","Picea","Pinus","Quercus","Tsuga","Ulmus","Ambrosia","Cyperaceae","Poaceae","legendvalues"
"1",-21000,27.58613,-81.503395,"Lake Tulane",0,0,0,1.98438516590761,4.16395575797007,0,0.325309043591412,5.00975927130774,0.780741704619388,3.54586857514639,10
"2",-21000,33.660655,-117.3534,"Lake Elsinore",0,0,0,18.0799018082495,2.7383051550669,0,0,0,3.0334854613975,5.04702140165266,50
"3",-21000,34.16759,-80.77616,"White Pond",0.221238938053097,0,1.65929203539823,62.7212389380531,2.21238938053097,0,0,0,0,0.221238938053097,100
"4",-21000,34.276446,-116.806408,"Baldwin Lake",0.187090739008419,0,0,60.8980355472404,0.748362956033676,0,0,0.561272217025257,0,0.374181478016838,10
"5",-21000,36.03015,-85.50132,"Anderson Pond",0.104314552657554,0,5.75754810097486,89.0351072891737,0.208629105315107,0,0,0,2.91262726645844,0.489392771670791,50
"6",-21000,36.052,-119.78,"Tulare Lake",0,0,0,12.4076275966519,0.284650795449975,0.0917431192660551,0,0.199559975218821,14.1606093912213,0.827166225743576,100
"7",-21000,36.79913,-91.08998,"Cupola Pond",0.298284862043251,0,14.2254333432078,3.4449033442322,2.49813571961223,0,0.0372856077554064,0.111856823266219,1.7151379567487,1.11856823266219,10
"8",-21000,37.4235,-119.5785,"Nichols Meadow",0,0,0,30.1630434782609,0,0,0,0,0,5.16304347826087,50
"9",-21000,38.0302777777778,-76.2144444444444,"Chesapeake Bay (MD99-2207)",1.54546086401587,0,0.357982699252541,25.6391422237071,46.4360451018907,4.35537115887417,0.671462323076992,1.77229392472961,2.11081742964611,3.52512865512318,100
"10",-21000,40.00076,-105.56156,"Devlins Park",0,0,0.77319587628866,11.340206185567,0.257731958762887,0,0,0.77319587628866,1.03092783505155,6.70103092783505,10
"11",-21000,41.13395,-115.5049,"Ruby Marsh",0,0,0,3.60863095238095,0,0,0,0.0744047619047619,0.260416666666667,0.446428571428571,50
"12",-21000,41.6496,-122.16715,"Grass Lake",0.205832079756057,0,0.315175364054111,44.4478270030417,0.124485213383021,0.693757899189018,0,0.0144300144300144,0.927760423907814,4.10871230676752,100
"13",-21000,41.78575,-73.90115,"Hyde Park",7.00325732899023,0,14.4951140065147,33.2247557003257,3.58306188925081,0,0.651465798045603,0,13.1921824104235,5.37459283387622,10
"14",-21000,41.98435,-111.33339,"Bear Lake",0,0,3.44827586206897,25.8620689655172,2.8735632183908,0,0,1.72413793103448,4.59770114942529,5.17241379310345,50
"15",-21000,43.06619,-111.43795,"Grays Lake",0,0,1.0477267830209,33.1061911944265,0,0,0,0,13.1329454858867,1.0198951375422,100
"16",-21000,43.4645833333334,-79.9154166666667,"Kilbride Swamp",0,0,0,81.1881188118812,7.92079207920792,0,2.47524752475248,0,0,0,10
"17",-21000,43.4677777777778,-79.9868055555556,"Rife Swamp",0,0,50.3676470588235,11.7647058823529,5.88235294117647,0,0,1.83823529411765,15.4411764705882,2.20588235294118,50
"18",-21000,55.047975,-105.385195,"Marl Pond",0.561797752808989,0,35.9550561797753,1.68539325842697,0,0,0,1.12359550561798,2.52808988764045,1.12359550561798,100
